,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_a,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_b,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_a,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_b,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_a,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_b,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_b,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_a,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_a,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_b,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_d,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_e,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_c,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_d,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_e,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_c,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_b,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_a,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_d,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_c,iql-op0-lstmlayers1-seed100,iql-op1-lstmlayers2-seed100,vdn-op0-lstmlayers2-seed100,vdn-op1-lstmlayers2-seed100,iql-op1-lstmlayers1-seed100,vdn-op0-lstmlayers1-seed100,iql-op0-lstmlayers2-seed101,vdn-op1-lstmlayers1-seed100,iql-op0-lstmlayers1-seed101,iql-op1-lstmlayers1-seed101,iql-op1-lstmlayers2-seed101,vdn-op1-lstmlayers2-seed101
20,20.891,20.547,20.528,20.85,20.926,20.774,20.85,21.2,20.01,20.628,20.606,19.512,18.581,19.645,19.865,18.822,18.333,20.699,20.521,20.871,20.639,20.796,20.679,20.547,20.891,18.776,17.484,17.278,4.572,6.314,1.955,0.769,4.624,3.322,6.173,2.192,4.811,5.036,4.225,2.763
21,20.811,20.803,20.885,21.013,20.991,21.113,21.124,21.198,20.538,20.63,20.357,20.23,18.919,19.851,20.253,19.298,18.771,20.723,20.984,20.744,20.783,20.965,20.623,20.803,20.811,18.993,17.994,17.481,4.667,6.04,2.486,0.619,4.804,4.369,6.297,2.301,4.611,5.498,3.982,3.308
22,20.76,21.263,21.087,21.035,21.656,21.203,21.11,21.422,20.219,21.017,20.589,19.084,18.086,19.779,20.216,18.883,18.092,21.019,21.091,20.848,20.53,20.727,21.203,21.263,20.76,18.134,17.005,17.195,3.986,5.553,2.379,0.348,4.708,3.345,5.78,2.56,4.247,5.19,4.063,2.797
23,20.843,21.301,21.15,20.737,21.488,21.297,21.33,21.693,20.3,21.536,20.654,20.084,18.975,20.407,20.737,19.588,18.518,20.962,21.201,21.004,20.685,20.708,21.213,21.301,20.843,18.93,17.677,17.85,4.361,5.936,2.046,0.273,4.806,3.647,5.985,2.419,4.366,4.668,3.936,3.044
24,20.938,20.838,20.65,21.05,21.383,21.014,21.313,21.276,20.714,20.73,20.935,20.601,19.032,20.289,20.683,19.856,19.493,20.654,20.994,20.839,20.713,20.733,20.637,20.838,20.938,19.276,18.891,18.699,5.097,7.023,2.406,0.551,5.294,4.447,6.554,2.964,5.049,5.744,4.6,3.462
25,19.174,18.725,18.902,18.766,22.365,22.796,22.772,22.776,23.448,23.264,23.004,23.266,23.32,23.252,23.699,23.55,23.5,18.759,18.685,18.95,18.594,18.943,18.266,18.725,19.174,24.106,23.166,23.346,6.634,9.113,3.228,0.167,7.432,4.439,8.22,3.421,7.775,7.467,4.824,4.559
26,18.885,18.076,18.247,18.418,22.563,23.229,22.911,22.559,23.592,23.103,23.129,23.835,24.018,23.587,23.53,24.025,24.057,17.891,17.627,18.349,17.8,17.761,17.065,18.076,18.886,23.213,24.155,24.092,4.089,5.528,1.616,0.127,4.239,2.647,5.389,2.066,4.049,5.111,2.607,2.11
27,18.804,17.69,17.676,18.464,22.383,23.016,22.968,22.409,23.678,23.14,23.212,23.758,23.998,23.718,23.642,24.051,24.079,17.252,17.575,18.373,17.03,17.834,17.59,17.69,18.804,23.474,24.057,24.173,4.463,5.902,1.647,0.135,4.813,3.068,5.422,2.123,5.171,5.463,2.725,2.324
28,5.373,4.848,4.103,4.34,5.925,6.403,6.383,7.587,5.888,7.474,4.94,5.373,5.274,3.854,5.076,4.34,3.658,4.005,3.975,6.132,4.765,4.364,3.903,4.848,5.373,6.309,4.273,4.454,23.206,17.454,20.954,9.488,20.728,21.195,20.564,10.109,18.338,21.209,8.965,18.304
29,6.244,5.805,5.586,5.44,9.145,8.611,8.336,10.253,8.132,10.511,7.379,7.921,7.159,6.327,8.273,6.59,5.511,5.547,5.561,6.958,6.394,6.211,5.528,5.805,6.244,8.612,5.523,5.738,17.375,23.537,15.614,4.502,20.056,14.017,19.307,5.561,13.5,15.696,13.732,17.859
