"num_samples","batchsize: 32 (Batchsize: partner: OBL5) - _step","batchsize: 32 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 32 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 32 (Batchsize: partner: OBL5) - score","batchsize: 32 (Batchsize: partner: OBL5) - score__MIN","batchsize: 32 (Batchsize: partner: OBL5) - score__MAX","batchsize: 64 (Batchsize: partner: OBL5) - _step","batchsize: 64 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 64 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 64 (Batchsize: partner: OBL5) - score","batchsize: 64 (Batchsize: partner: OBL5) - score__MIN","batchsize: 64 (Batchsize: partner: OBL5) - score__MAX","batchsize: 128 (Batchsize: partner: OBL5) - _step","batchsize: 128 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 128 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 128 (Batchsize: partner: OBL5) - score","batchsize: 128 (Batchsize: partner: OBL5) - score__MIN","batchsize: 128 (Batchsize: partner: OBL5) - score__MAX","batchsize: 256 (Batchsize: partner: OBL5) - _step","batchsize: 256 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 256 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 256 (Batchsize: partner: OBL5) - score","batchsize: 256 (Batchsize: partner: OBL5) - score__MIN","batchsize: 256 (Batchsize: partner: OBL5) - score__MAX","batchsize: 512 (Batchsize: partner: OBL5) - _step","batchsize: 512 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 512 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 512 (Batchsize: partner: OBL5) - score","batchsize: 512 (Batchsize: partner: OBL5) - score__MIN","batchsize: 512 (Batchsize: partner: OBL5) - score__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - _step","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - score","batchsize: 1024 (Batchsize: partner: OBL5) - score__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - score__MAX"
"67617","","","","","","","7","7","7","12.674","12.674","12.674","","","","","","","","","","","","","","","","","","","","","","","",""
"67667","9","9","9","13.148","13.148","13.148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67703","","","","","","","","","","","","","6","6","6","12.437","12.437","12.437","","","","","","","","","","","","","","","","","",""
"68106","","","","","","","","","","","","","6","6","6","13.028","13.028","13.028","","","","","","","","","","","","","","","","","",""
"68121","","","","","","","","","","","","","6","6","6","12.67","12.67","12.67","","","","","","","","","","","","","","","","","",""
"68211","","","","","","","","","","","","","6","6","6","13.058","13.058","13.058","","","","","","","","","","","","","","","","","",""
"68573","","","","","","","","","","","","","6","6","6","13.106","13.106","13.106","","","","","","","","","","","","","","","","","",""
"68779","9","9","9","12.943","12.943","12.943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68782","","","","","","","","","","","","","6","6","6","13.147","13.147","13.147","","","","","","","","","","","","","","","","","",""
"72529","9","9","9","12.615","12.615","12.615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74293","10","10","10","12.873","12.873","12.873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74373","","","","","","","8","8","8","12.371","12.371","12.371","","","","","","","","","","","","","","","","","","","","","","","",""
"74603","","","","","","","8","8","8","13.214","13.214","13.214","","","","","","","4","4","4","12.778","12.778","12.778","","","","","","","","","","","",""
"74983","","","","","","","","","","","","","","","","","","","4","4","4","12.133","12.133","12.133","","","","","","","","","","","",""
"75501","10","10","10","13.542","13.542","13.542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75806","","","","","","","","","","","","","7","7","7","12.864","12.864","12.864","","","","","","","","","","","","","","","","","",""
"76228","","","","","","","8","8","8","13.34","13.34","13.34","","","","","","","","","","","","","","","","","","","","","","","",""
"77471","","","","","","","","","","","","","7","7","7","13.135","13.135","13.135","","","","","","","","","","","","","","","","","",""
"77772","","","","","","","","","","","","","7","7","7","12.917","12.917","12.917","","","","","","","","","","","","","","","","","",""
"78164","","","","","","","","","","","","","7","7","7","12.938","12.938","12.938","","","","","","","","","","","","","","","","","",""
"78209","","","","","","","","","","","","","7","7","7","12.923","12.923","12.923","","","","","","","","","","","","","","","","","",""
"78333","","","","","","","","","","","","","7","7","7","13.014","13.014","13.014","","","","","","","","","","","","","","","","","",""
"78416","","","","","","","","","","","","","7","7","7","12.988","12.988","12.988","","","","","","","","","","","","","","","","","",""
"78719","","","","","","","","","","","","","7","7","7","13.06","13.06","13.06","","","","","","","","","","","","","","","","","",""
"80049","10","10","10","13.105","13.105","13.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81110","11","11","11","13.173","13.173","13.173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82295","11","11","11","13.188","13.188","13.188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82634","","","","","","","9","9","9","12.882","12.882","12.882","","","","","","","","","","","","","","","","","","","","","","","",""
"82982","","","","","","","9","9","9","13.197","13.197","13.197","","","","","","","","","","","","","","","","","","","","","","","",""
"83752","","","","","","","","","","","","","","","","","","","3","3","3","12.447","12.447","12.447","","","","","","","","","","","",""
"83832","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","12.882","12.882","12.882","","","","","",""
"84664","","","","","","","9","9","9","13.372","13.372","13.372","","","","","","","","","","","","","","","","","","","","","","","",""
"85314","","","","","","","","","","","","","8","8","8","12.837","12.837","12.837","","","","","","","","","","","","","","","","","",""
"87180","11","11","11","13.799","13.799","13.799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87495","","","","","","","","","","","","","8","8","8","13.303","13.303","13.303","","","","","","","","","","","","","","","","","",""
"87535","12","12","12","13.424","13.424","13.424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88194","","","","","","","","","","","","","8","8","8","12.996","12.996","12.996","","","","","","","","","","","","","","","","","",""
"88236","","","","","","","","","","","","","8","8","8","13.654","13.654","13.654","","","","","","","","","","","","","","","","","",""
"88379","","","","","","","","","","","","","8","8","8","13.451","13.451","13.451","","","","","","","","","","","","","","","","","",""
"88404","","","","","","","","","","","","","8","8","8","13.66","13.66","13.66","","","","","","","","","","","","","","","","","",""
"88794","","","","","","","","","","","","","8","8","8","13.236","13.236","13.236","","","","","","","","","","","","","","","","","",""
"88828","","","","","","","","","","","","","8","8","8","13.113","13.113","13.113","","","","","","","","","","","","","","","","","",""
"88869","12","12","12","13.351","13.351","13.351","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89497","","","","","","","","","","","","","","","","","","","5","5","5","12.492","12.492","12.492","","","","","","","","","","","",""
"90925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.967","11.967","11.967"
"90987","","","","","","","10","10","10","13.45","13.45","13.45","","","","","","","","","","","","","","","","","","","","","","","",""
"91427","","","","","","","10","10","10","13.529","13.529","13.529","","","","","","","","","","","","","","","","","","","","","","","",""
"91641","","","","","","","","","","","","","","","","","","","5","5","5","12.834","12.834","12.834","","","","","","","","","","","",""
"91945","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","12.755","12.755","12.755","","","","","",""
"93037","","","","","","","10","10","10","13.449","13.449","13.449","","","","","","","","","","","","","","","","","","","","","","","",""
"94309","13","13","13","13.602","13.602","13.602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94313","12","12","12","13.252","13.252","13.252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94859","","","","","","","","","","","","","9","9","9","13.52","13.52","13.52","","","","","","","","","","","","","","","","","",""
"95733","13","13","13","13.509","13.509","13.509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97918","","","","","","","","","","","","","9","9","9","13.357","13.357","13.357","","","","","","","","","","","","","","","","","",""
"98314","","","","","","","","","","","","","9","9","9","13.393","13.393","13.393","","","","","","","","","","","","","","","","","",""
"98358","","","","","","","","","","","","","9","9","9","13.339","13.339","13.339","","","","","","","","","","","","","","","","","",""
"98640","","","","","","","","","","","","","9","9","9","13.317","13.317","13.317","","","","","","","","","","","","","","","","","",""
"98710","","","","","","","","","","","","","9","9","9","13.463","13.463","13.463","","","","","","","","","","","","","","","","","",""
"99015","","","","","","","","","","","","","9","9","9","13.788","13.788","13.788","","","","","","","","","","","","","","","","","",""
"99070","","","","","","","","","","","","","9","9","9","13.179","13.179","13.179","","","","","","","","","","","","","","","","","",""
"99348","","","","","","","11","11","11","13.442","13.442","13.442","","","","","","","","","","","","","","","","","","","","","","","",""
"99704","","","","","","","11","11","11","13.515","13.515","13.515","","","","","","","","","","","","","","","","","","","","","","","",""
"101310","14","14","14","13.731","13.731","13.731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101511","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","12.215","12.215","12.215","","","","","",""
"101527","13","13","13","14.02","14.02","14.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101938","","","","","","","11","11","11","13.544","13.544","13.544","","","","","","","","","","","","","","","","","","","","","","","",""
"102594","14","14","14","14.298","14.298","14.298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
